micro_agg,neg_corr,precision,accuracy,recall,tau,u,auc,eor,dpr,epsilon,eOdds,f,f1,k
0.0,0.0,0.7925036346063541,0.75,0.8694542666276843,0.0,15.6,0.6700754303494654,0.0620961958383537,0.1218989772411074,,0.24785865444910954,34.4,0.8289847488992994,
1.0,0.0,0.7041179260414593,0.6729999999999999,0.9197852481533988,0.0,15.6,0.5098868363742257,0.05333964040126786,0.04809280535001596,,0.11415553148031685,34.4,0.7959715416589128,
0.0,1.0,0.7925036346063541,0.75,0.8694542666276843,0.0,15.6,0.6700754303494654,0.0620961958383537,0.1218989772411074,,0.24785865444910954,34.4,0.8289847488992994,
1.0,1.0,0.7041179260414593,0.6729999999999999,0.9197852481533988,0.0,15.6,0.5098868363742257,0.05333964040126786,0.04809280535001596,,0.11415553148031685,34.4,0.7959715416589128,
0.0,0.0,0.7899604726944564,0.7440000000000001,0.8621579627719335,0.0,18.6,0.664209975107651,0.06385589318354082,0.1158113244825969,,0.2377256696384566,41.4,0.8243322177788824,
1.0,0.0,0.7157307993730407,0.6859999999999999,0.9137395763804228,0.0,18.6,0.5315202262924583,0.10371913876441012,0.0717907136411969,,0.16478922255895204,41.4,0.8020720389385131,
0.0,1.0,0.7899604726944564,0.7440000000000001,0.8621579627719335,0.0,18.6,0.664209975107651,0.06385589318354082,0.1158113244825969,,0.2377256696384566,41.4,0.8243322177788824,
1.0,1.0,0.7157307993730407,0.6859999999999999,0.9137395763804228,0.0,18.6,0.5315202262924583,0.10371913876441012,0.0717907136411969,,0.16478922255895204,41.4,0.8020720389385131,
0.0,0.0,0.7926791331782007,0.747,0.8639700130737703,0.0,21.6,0.6684493335919027,0.07096055258097432,0.12536986915796522,,0.25161790608662504,48.4,0.8265778646698079,
1.0,0.0,0.7065765397464163,0.6729999999999999,0.9074010962843646,0.0,21.6,0.5139129683217161,0.061154327807052815,0.039341586322627874,,0.1120174089332918,48.4,0.7943927416091066,
0.0,1.0,0.7926791331782007,0.747,0.8639700130737703,0.0,21.6,0.6684493335919027,0.07096055258097432,0.12536986915796522,,0.25161790608662504,48.4,0.8265778646698079,
1.0,1.0,0.7065765397464163,0.6729999999999999,0.9074010962843646,0.0,21.6,0.5139129683217161,0.061154327807052815,0.039341586322627874,,0.1120174089332918,48.4,0.7943927416091066,
0.0,0.0,0.7807483547062708,0.7390000000000001,0.8712328510196988,0.0,24.8,0.650694578657823,0.06916795959847541,0.11306438876065487,,0.21850162099096035,55.2,0.8233322246480308,
1.0,0.0,0.7156404102261413,0.6869999999999999,0.914973420344699,0.0,24.8,0.5342718522585287,0.03408353063426377,0.06198528239636065,,0.14949128690889313,55.2,0.8028340318493653,
0.0,1.0,0.7807483547062708,0.7390000000000001,0.8712328510196988,0.0,24.8,0.650694578657823,0.06916795959847541,0.11306438876065487,,0.21850162099096035,55.2,0.8233322246480308,
1.0,1.0,0.7156404102261413,0.6869999999999999,0.914973420344699,0.0,24.8,0.5342718522585287,0.03408353063426377,0.06198528239636065,,0.14949128690889313,55.2,0.8028340318493653,
0.0,0.0,0.7931718503119619,0.755,0.8782177931990651,0.0,28.0,0.6720883751697018,0.04756321179453375,0.10444379452204222,,0.2135773595114679,62.0,0.8333795454770234,
1.0,0.0,0.698186282274632,0.645,0.8680700099478335,0.0,28.0,0.4978509790327445,0.05927535678035122,0.04719960470741029,,0.13326607682370284,62.0,0.7715333467866687,
0.0,1.0,0.7931718503119619,0.755,0.8782177931990651,0.0,28.0,0.6720883751697018,0.04756321179453375,0.10444379452204222,,0.2135773595114679,62.0,0.8333795454770234,
1.0,1.0,0.698186282274632,0.645,0.8680700099478335,0.0,28.0,0.4978509790327445,0.05927535678035122,0.04719960470741029,,0.13326607682370284,62.0,0.7715333467866687,
0.0,0.0,0.7847805962707618,0.743,0.8712227193074394,0.0,31.2,0.6574126766435013,0.05386303060933588,0.11131076347761784,,0.22602459509288175,68.8,0.8255070336228503,
1.0,0.0,0.6997243783196381,0.6449999999999999,0.8630889770280433,0.0,31.2,0.4992828766963765,0.08059134375110774,0.09118137981875296,,0.20621971648474366,68.8,0.7721716434512482,
0.0,1.0,0.7847805962707618,0.743,0.8712227193074394,0.0,31.2,0.6574126766435013,0.05386303060933588,0.11131076347761784,,0.22602459509288175,68.8,0.8255070336228503,
1.0,1.0,0.6997243783196381,0.6449999999999999,0.8630889770280433,0.0,31.2,0.4992828766963765,0.08059134375110774,0.09118137981875296,,0.20621971648474366,68.8,0.7721716434512482,
0.0,0.0,0.7938759701935383,0.746,0.8597467623571033,0.0,,0.6697275387420439,0.06202690310967664,0.11297091955184765,,0.23901431732619305,,0.8252687375180365,10.0
1.0,0.0,0.7356223036762249,0.6990000000000001,0.8896399472636103,0.0,,0.5706435138659195,0.10935885146715217,0.13562022263978438,,0.3184979950335404,,0.8044610706826646,10.0
0.0,1.0,0.7938759701935383,0.746,0.8597467623571033,0.0,,0.6697275387420439,0.06202690310967664,0.11297091955184765,,0.23901431732619305,,0.8252687375180365,10.0
1.0,1.0,0.7356223036762249,0.6990000000000001,0.8896399472636103,0.0,,0.5706435138659195,0.10935885146715217,0.13562022263978438,,0.3184979950335404,,0.8044610706826646,10.0
