,accuracy,f1,precision,recall,auc,dpr,eor,eOdds,e,fold
3037,0.64,0.7446808510638298,0.7446808510638298,0.7446808510638298,0.567255679769203,0.03670634920634919,0.03695324283559576,0.06776556776556775,0.316,0
3038,0.64,0.7293233082706767,0.7759999999999999,0.6879432624113475,0.6066834956124534,0.024801587301587324,0.006033182503770718,0.0830639948287007,0.316,0
3039,0.505,0.575107296137339,0.7282608695652174,0.475177304964539,0.5257242457026085,0.09325396825396826,0.05429864253393663,0.23637147166558925,0.316,0
3040,0.635,0.7606557377049179,0.7073170731707317,0.8226950354609929,0.5045678567135472,0.0267857142857143,0.003016591251885359,0.09965524671407022,0.316,0
3041,0.505,0.6055776892430279,0.6909090909090909,0.5390070921985816,0.4813679528789517,0.054563492063492085,0.07013574660633481,0.0869424692954105,0.316,0
3042,0.425,0.5106382978723405,0.6382978723404256,0.425531914893617,0.4246303642264696,0.10714285714285716,0.09200603318250378,0.2404654169360052,0.316,0
3043,0.615,0.7372013651877133,0.7105263157894737,0.7659574468085106,0.5100973674720519,0.03869047619047628,0.06636500754147813,0.0929756517991811,0.316,0
3044,0.68,0.7793103448275862,0.7583892617449665,0.8014184397163121,0.5956244740954442,0.0813492063492064,0.009049773755656187,0.3087696617108382,0.316,0
3045,0.56,0.6879432624113475,0.6879432624113475,0.6879432624113475,0.4710902752734704,0.011904761904761972,0.029411764705882363,0.05602240896358535,0.316,0
3046,0.555,0.6482213438735178,0.7321428571428571,0.5815602836879432,0.5365428537083784,0.008928571428571397,0.02413273001508298,0.053544494720965334,0.316,0
3047,0.495,0.5627705627705627,0.7222222222222222,0.4609929078014184,0.5186320471210483,0.054563492063492085,0.07013574660633487,0.0869424692954105,0.316,0
3048,0.635,0.7420494699646644,0.7394366197183099,0.7446808510638298,0.5587811034980166,0.1795634920634921,0.10482654600301657,0.4633699633699633,0.316,0
3049,0.615,0.7407407407407408,0.7051282051282052,0.7801418439716312,0.5002404135112393,0.09126984126984128,0.12141779788838615,0.1424262012497307,0.316,0
3050,0.54,0.6406249999999999,0.7130434782608696,0.5815602836879432,0.5111191248948189,0.17857142857142855,0.2368024132730016,0.2788192199956906,0.316,0
3051,0.58,0.6934306569343066,0.7142857142857143,0.6737588652482269,0.5148455343190288,0.018849206349206397,0.02564102564102566,0.029842706313294557,0.316,0
3052,0.625,0.7648902821316614,0.6853932584269663,0.8652482269503546,0.4580478422887366,0.10317460317460314,0.1508295625942685,0.16203404438698554,0.316,0
3053,0.71,0.8040540540540542,0.7677419354838709,0.8439716312056738,0.6169010698401249,0.10912698412698417,0.17420814479638014,0.2260288730876967,0.316,0
3054,0.68,0.8060606060606061,0.7037037037037037,0.9432624113475178,0.4970549344873182,0.0267857142857143,0.007541478129713397,0.0789700495582848,0.316,0
3055,0.58,0.7290322580645161,0.6686390532544378,0.8014184397163121,0.42613294867171536,0.1160714285714286,0.13273001508295634,0.2041585865115277,0.316,0
3056,0.525,0.6415094339622641,0.6854838709677419,0.6028368794326241,0.4709099651400409,0.017857142857142905,0.018099547511312156,0.03770739064856698,0.316,0
3057,0.615,0.7317073170731706,0.7191780821917808,0.7446808510638298,0.5248827984132709,0.02777777777777779,0.0339366515837104,0.04934281404869645,0.316,0
3058,0.53,0.6594202898550724,0.674074074074074,0.6453900709219859,0.4498136795287896,0.029761904761904767,0.029411764705882363,0.05602240896358535,0.316,0
3059,0.65,0.7712418300653595,0.7151515151515152,0.8368794326241135,0.520134631566294,0.019841269841269882,0.012820512820512777,0.05063563887093292,0.316,0
3060,0.475,0.5070422535211269,0.75,0.3829787234042553,0.5389469888207716,0.003968253968253954,0.0022624434389140746,0.01766860590390007,0.316,0
3061,0.575,0.6558704453441295,0.7641509433962265,0.5744680851063829,0.5753696357735305,0.04166666666666663,0.08521870286576172,0.1510450333979746,0.316,0
3062,0.62,0.7285714285714286,0.7338129496402878,0.7234042553191491,0.5481428056256762,0.0267857142857143,0.06334841628959276,0.11797026502908857,0.316,0
