k,u,f,tau,neg_corr,micro_agg,epsilon,perf_name,perf_val,fair_name,fair_val
,7.0,3.0,0.0,0.0,0.0,,accuracy,0.6749671738950467,dpr,0.14091491819522906
,7.0,3.0,0.0,0.0,1.0,,accuracy,0.6730867856195987,dpr,0.3926000860333561
,7.0,3.0,0.0,1.0,0.0,,accuracy,0.6749671738950467,dpr,0.14091491819522906
,7.0,3.0,0.0,1.0,1.0,,accuracy,0.6730867856195987,dpr,0.3926000860333561
,13.0,7.0,0.0,0.0,0.0,,accuracy,0.6767056737551492,dpr,0.1707673751624123
,13.0,7.0,0.0,0.0,1.0,,accuracy,0.6691775187551545,dpr,0.3714845250709006
,13.0,7.0,0.0,1.0,0.0,,accuracy,0.6767056737551492,dpr,0.1707673751624123
,13.0,7.0,0.0,1.0,1.0,,accuracy,0.6691775187551545,dpr,0.3714845250709006
,20.0,10.0,0.0,0.0,0.0,,accuracy,0.6784427065267623,dpr,0.1709602946966292
,20.0,10.0,0.0,0.0,1.0,,accuracy,0.6662811717007013,dpr,0.35836974077121536
,20.0,10.0,0.0,1.0,0.0,,accuracy,0.6784427065267623,dpr,0.1709602946966292
,20.0,10.0,0.0,1.0,1.0,,accuracy,0.6662811717007013,dpr,0.35836974077121536
,26.0,14.0,0.0,0.0,0.0,,accuracy,0.6774291579645614,dpr,0.17103043361333015
,26.0,14.0,0.0,0.0,1.0,,accuracy,0.6683091071613829,dpr,0.35725345831603217
,26.0,14.0,0.0,1.0,0.0,,accuracy,0.6774291579645614,dpr,0.17103043361333015
,26.0,14.0,0.0,1.0,1.0,,accuracy,0.6683091071613829,dpr,0.35725345831603217
,33.0,17.0,0.0,0.0,0.0,,accuracy,0.6777184887731054,dpr,0.1758593525450445
,33.0,17.0,0.0,0.0,1.0,,accuracy,0.6675839462794112,dpr,0.35609381235337423
,33.0,17.0,0.0,1.0,0.0,,accuracy,0.6777184887731054,dpr,0.1758593525450445
,33.0,17.0,0.0,1.0,1.0,,accuracy,0.6675839462794112,dpr,0.35609381235337423
,39.2,20.8,0.0,0.0,0.0,,accuracy,0.6774294723406663,dpr,0.17329351573037716
,39.2,20.8,0.0,0.0,1.0,,accuracy,0.6738105842051156,dpr,0.34282886447264466
,39.2,20.8,0.0,1.0,0.0,,accuracy,0.6774294723406663,dpr,0.17329351573037716
,39.2,20.8,0.0,1.0,1.0,,accuracy,0.6738105842051156,dpr,0.34282886447264466
,46.0,24.0,0.0,0.0,0.0,,accuracy,0.6788769647196655,dpr,0.17595135201926365
,46.0,24.0,0.0,0.0,1.0,,accuracy,0.6713481809674611,dpr,0.3385729240386997
,46.0,24.0,0.0,1.0,0.0,,accuracy,0.6788769647196655,dpr,0.17595135201926365
,46.0,24.0,0.0,1.0,1.0,,accuracy,0.6713481809674611,dpr,0.3385729240386997
,52.2,27.8,0.0,0.0,0.0,,accuracy,0.6767056737551491,dpr,0.17598483382435062
,52.2,27.8,0.0,0.0,1.0,,accuracy,0.6712038823353115,dpr,0.3349795610885716
,52.2,27.8,0.0,1.0,0.0,,accuracy,0.6767056737551491,dpr,0.17598483382435062
,52.2,27.8,0.0,1.0,1.0,,accuracy,0.6712038823353115,dpr,0.3349795610885716
,59.2,30.8,0.0,0.0,0.0,,accuracy,0.6758368429932377,dpr,0.17004504554632516
,59.2,30.8,0.0,0.0,1.0,,accuracy,0.6759812464174223,dpr,0.33394779145915804
,59.2,30.8,0.0,1.0,0.0,,accuracy,0.6758368429932377,dpr,0.17004504554632516
,59.2,30.8,0.0,1.0,1.0,,accuracy,0.6759812464174223,dpr,0.33394779145915804
,65.4,34.6,0.0,0.0,0.0,,accuracy,0.6745331252862132,dpr,0.16420951005583415
,65.4,34.6,0.0,0.0,1.0,,accuracy,0.6719275761287935,dpr,0.3090897427256647
,65.4,34.6,0.0,1.0,0.0,,accuracy,0.6745331252862132,dpr,0.16420951005583415
,65.4,34.6,0.0,1.0,1.0,,accuracy,0.6719275761287935,dpr,0.3090897427256647
10.0,,,0.0,0.0,0.0,,accuracy,0.678297988726473,dpr,0.18239136734867925
10.0,,,0.0,0.0,1.0,,accuracy,0.6738094314927311,dpr,0.20518567210771368
10.0,,,0.0,1.0,0.0,,accuracy,0.678297988726473,dpr,0.18239136734867925
