accuracy,f1,precision,recall,auc,dpr,eor,eOdds,kf,t,k,u,f,lf,nc,m,e
0.48769157489217363,0.31473550540170747,0.3779336996922312,0.535533543556052,0.5041991269969229,0.041998794965156336,0.041068326923248286,0.06733818355752634,2,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.01
0.5249312988085444,0.29256885273861516,0.3760148102645593,0.49135862124230273,0.5133989531302016,0.046798528398481525,0.040056094284516244,0.07799692295597582,2,0.0,0.0,3.0,7.0,0.0,0.0,1.0,0.01
0.5439074789374191,0.28727141509843024,0.32089904362431243,0.43616825068885845,0.5070117032564541,0.03595560642142332,0.03947530527662589,0.08569350491363524,2,0.0,0.0,3.0,7.0,0.0,1.0,0.0,0.01
0.5950312897169184,0.2859652707666294,0.2863379965775496,0.409481505239558,0.5315249303205489,0.08446676985936857,0.08175620834876467,0.14631534740322694,2,0.0,0.0,3.0,7.0,0.0,1.0,1.0,0.01
0.4091762656882418,0.3313671891523484,0.3021351231222238,0.6225074350487321,0.48183214381738687,0.04702410878103447,0.049907246249504135,0.09424877949217829,2,0.1,0.0,3.0,7.0,0.0,0.0,0.0,0.01
0.4442189897279718,0.2984916786522815,0.33994289823421997,0.5224102305658496,0.4706279354293733,0.0367702824213007,0.030427664210468046,0.039987439210564885,2,0.1,0.0,3.0,7.0,0.0,0.0,1.0,0.01
0.3787074405337878,0.30075102260071157,0.19057039275394955,0.7178166982048495,0.49413033679146495,0.025638612383144598,0.011820396280705213,0.04223600265972569,2,0.1,0.0,3.0,7.0,0.0,1.0,0.0,0.01
0.5036098328762999,0.29395030477162776,0.2547861964400459,0.5258727069864653,0.5114657607442655,0.06863772381815393,0.053400485279580634,0.11547489965013417,2,0.1,0.0,3.0,7.0,0.0,1.0,1.0,0.01
0.6449395906731236,0.26273327522817363,0.4781144753286166,0.3329588305286662,0.5387466654583217,0.03718757704407706,0.030953918406857583,0.06240979331202049,2,0.2,0.0,3.0,7.0,0.0,0.0,0.0,0.01
0.5215975439029331,0.29572925426285107,0.26708723038992443,0.5063652133742222,0.5164873772493989,0.04212943587287145,0.06661237723268594,0.09880437361295036,2,0.2,0.0,3.0,7.0,0.0,0.0,1.0,0.01
0.6495774327361153,0.15067243509813139,0.21410420503472988,0.21180272108843537,0.5000906660197466,0.023490322750443146,0.03488137187964459,0.047175894474158854,2,0.2,0.0,3.0,7.0,0.0,1.0,0.0,0.01
0.46631579026788605,0.24115423120442805,0.1856772884829212,0.46472434834528215,0.4659948650198527,0.023017367660056205,0.014661451179726323,0.029608630357915867,2,0.2,0.0,3.0,7.0,0.0,1.0,1.0,0.01
0.25324822854762974,0.3615993878242897,0.22783736806311286,0.8767574567653937,0.46608969411652534,0.031387635299661445,0.018300302954975776,0.03496104002270535,2,0.3,0.0,3.0,7.0,0.0,0.0,0.0,0.01
0.49943264104940754,0.36541145061613034,0.355674969032202,0.637161849753553,0.546182686577437,0.024739074843633465,0.03655103266671397,0.07134117169536708,2,0.3,0.0,3.0,7.0,0.0,0.0,1.0,0.01
0.47007915278873363,0.320721517650264,0.36582578217849304,0.5553701792056209,0.4989434589939819,0.03779265054413498,0.039553467976831874,0.06763556542048123,2,0.3,0.0,3.0,7.0,0.0,1.0,0.0,0.01
0.40372786368295344,0.2853456094354758,0.21007220473176455,0.5090739698335276,0.43958897775960304,0.052977380191617886,0.06430906866518293,0.11014727651311322,2,0.3,0.0,3.0,7.0,0.0,1.0,1.0,0.01
