k,u,f,tau,neg_corr,micro_agg,epsilon,accuracy,auc,f1,precision,recall,dpr,eor,eOdds
,3.0,7.0,0.0,0.0,0.0,,0.8507107972676835,0.7640007728327991,0.6581028921249852,0.7336024682574107,0.5967294734172309,0.18578859840515174,0.13203618984842674,0.2104937446576708
,3.0,7.0,0.0,0.0,1.0,,0.8376276081365901,0.7509863350493979,0.633984188814266,0.6939571091267795,0.5838513919963431,0.2729136884448905,0.4912624569365899,0.6216597391282497
,3.0,7.0,0.0,1.0,0.0,,0.8507107972676835,0.7640007728327991,0.6581028921249852,0.7336024682574107,0.5967294734172309,0.18578859840515174,0.13203618984842674,0.2104937446576708
,3.0,7.0,0.0,1.0,1.0,,0.8376276081365901,0.7509863350493979,0.633984188814266,0.6939571091267795,0.5838513919963431,0.2729136884448905,0.4912624569365899,0.6216597391282497
,7.0,13.0,0.0,0.0,0.0,,0.8505879188513921,0.7613057991124257,0.6550241071134641,0.7376381838491862,0.5890736940760887,0.1739517159323535,0.09620223746842996,0.16755189555625524
,7.0,13.0,0.0,0.0,1.0,,0.8130583050493229,0.7412899915932375,0.6083414887276997,0.6149516539555501,0.6028495243449317,0.3001675910648769,0.4743088371578111,0.6458263016227962
,7.0,13.0,0.0,1.0,0.0,,0.8505879188513921,0.7613057991124257,0.6550241071134641,0.7376381838491862,0.5890736940760887,0.1739517159323535,0.09620223746842996,0.16755189555625524
,7.0,13.0,0.0,1.0,1.0,,0.8130583050493229,0.7412899915932375,0.6083414887276997,0.6149516539555501,0.6028495243449317,0.3001675910648769,0.4743088371578111,0.6458263016227962
,10.0,20.0,0.0,0.0,0.0,,0.8504958472772846,0.7631239892910975,0.6569790408495145,0.7341071857623119,0.5945709425724763,0.1791471671112105,0.1085187635683685,0.18324129516503224
,10.0,20.0,0.0,0.0,1.0,,0.7990843393538004,0.7277422947982002,0.5861259251288592,0.5834422533541062,0.5901043553573029,0.2850696647969805,0.4314545429468598,0.5981648181440797
,10.0,20.0,0.0,1.0,0.0,,0.8504958472772846,0.7631239892910975,0.6569790408495145,0.7341071857623119,0.5945709425724763,0.1791471671112105,0.1085187635683685,0.18324129516503224
,10.0,20.0,0.0,1.0,1.0,,0.7990843393538004,0.7277422947982002,0.5861259251288592,0.5834422533541062,0.5901043553573029,0.2850696647969805,0.4314545429468598,0.5981648181440797
,13.0,27.0,0.0,0.0,0.0,,0.8511100413046521,0.765093142967366,0.6596370190750858,0.7337510517920358,0.5991568680943411,0.18084877129109125,0.1111502548627256,0.18660053258698275
,13.0,27.0,0.0,0.0,1.0,,0.7857864548732812,0.7220576013782503,0.5739430598095023,0.5509970833725213,0.5991323563514105,0.2875099716966457,0.4213238683015669,0.5954992075711644
,13.0,27.0,0.0,1.0,0.0,,0.8511100413046521,0.765093142967366,0.6596370190750858,0.7337510517920358,0.5991568680943411,0.18084877129109125,0.1111502548627256,0.18660053258698275
,13.0,27.0,0.0,1.0,1.0,,0.7857864548732812,0.7220576013782503,0.5739430598095023,0.5509970833725213,0.5991323563514105,0.2875099716966457,0.4213238683015669,0.5954992075711644
,16.6,33.4,0.0,0.0,0.0,,0.8504651064531303,0.7625371938379858,0.6563018884716497,0.7349849049086989,0.5929111371707346,0.17954526331873805,0.11481065729489172,0.18927578945112708
,16.6,33.4,0.0,0.0,1.0,,0.7770646148640161,0.719723392429282,0.5681937582818823,0.5324592507303086,0.6091071378223882,0.2885276475805679,0.4217002306471526,0.5982656097129369
,16.6,33.4,0.0,1.0,0.0,,0.8504651064531303,0.7625371938379858,0.6563018884716497,0.7349849049086989,0.5929111371707346,0.17954526331873805,0.11481065729489172,0.18927578945112708
,16.6,33.4,0.0,1.0,1.0,,0.7770646148640161,0.719723392429282,0.5681937582818823,0.5324592507303086,0.6091071378223882,0.2885276475805679,0.4217002306471526,0.5982656097129369
,20.0,40.0,0.0,0.0,0.0,,0.8508336190970922,0.7638255400669121,0.6580125775781891,0.7345751220480288,0.5959735123209358,0.1768995163104502,0.10037271376880212,0.17341204060553236
,20.0,40.0,0.0,0.0,1.0,,0.7661926902196363,0.7118508262053445,0.5557236615150244,0.512791417603675,0.6070431310475841,0.2758746849568677,0.4301215705665719,0.5934300323710019
,20.0,40.0,0.0,1.0,0.0,,0.8508336190970922,0.7638255400669121,0.6580125775781891,0.7345751220480288,0.5959735123209358,0.1768995163104502,0.10037271376880212,0.17341204060553236
,20.0,40.0,0.0,1.0,1.0,,0.7661926902196363,0.7118508262053445,0.5557236615150244,0.512791417603675,0.6070431310475841,0.2758746849568677,0.4301215705665719,0.5934300323710019
,23.0,47.0,0.0,0.0,0.0,,0.8492059257029319,0.7618786401830222,0.6545918550612222,0.729939628021562,0.5934149359748405,0.17789354492011342,0.10526920032539963,0.1796309278708485
,23.0,47.0,0.0,0.0,1.0,,0.7715972043816355,0.7142436017859263,0.5602386767968464,0.523221505213748,0.6036009175038142,0.2730748690755652,0.4053394003266832,0.5683538965247974
,23.0,47.0,0.0,1.0,0.0,,0.8492059257029319,0.7618786401830222,0.6545918550612222,0.729939628021562,0.5934149359748405,0.17789354492011342,0.10526920032539963,0.1796309278708485
,23.0,47.0,0.0,1.0,1.0,,0.7715972043816355,0.7142436017859263,0.5602386767968464,0.523221505213748,0.6036009175038142,0.2730748690755652,0.4053394003266832,0.5683538965247974
,26.6,53.4,0.0,0.0,0.0,,0.8500351546010229,0.7627788478439106,0.6562318195278589,0.7324802513168844,0.5944466602457157,0.17808496646895886,0.10429038736411674,0.1785853646372009
,26.6,53.4,0.0,0.0,1.0,,0.7646262521262521,0.7123951483755732,0.5558127848103136,0.5096492345834973,0.6116431486003425,0.2708292402756568,0.3949751342753491,0.5578787714729481
,26.6,53.4,0.0,1.0,0.0,,0.8500351546010229,0.7627788478439106,0.6562318195278589,0.7324802513168844,0.5944466602457157,0.17808496646895886,0.10429038736411674,0.1785853646372009
,26.6,53.4,0.0,1.0,1.0,,0.7646262521262521,0.7123951483755732,0.5558127848103136,0.5096492345834973,0.6116431486003425,0.2708292402756568,0.3949751342753491,0.5578787714729481
,30.0,60.0,0.0,0.0,0.0,,0.8500658294071467,0.7623980428351352,0.6558516104832268,0.7331942071343608,0.5932811397291917,0.17818901321243846,0.10822930283195137,0.18220996251014665
,30.0,60.0,0.0,0.0,1.0,,0.7641963615766012,0.7064046673807656,0.5488522327964467,0.5101237712898541,0.5949321576006275,0.26359626091942506,0.4126898792082871,0.5665657741928228
,30.0,60.0,0.0,1.0,0.0,,0.8500658294071467,0.7623980428351352,0.6558516104832268,0.7331942071343608,0.5932811397291917,0.17818901321243846,0.10822930283195137,0.18220996251014665
,30.0,60.0,0.0,1.0,1.0,,0.7641963615766012,0.7064046673807656,0.5488522327964467,0.5101237712898541,0.5949321576006275,0.26359626091942506,0.4126898792082871,0.5665657741928228
,33.0,67.0,0.0,0.0,0.0,,0.8503729688609928,0.7638266352823392,0.6576771356799456,0.7324243348015397,0.5968653452886371,0.1812872028219641,0.11136076253017003,0.1879035629121499
,33.0,67.0,0.0,0.0,1.0,,0.7618619640326227,0.7014580048452188,0.5419468865062033,0.5055011650161221,0.584957501657805,0.2553668060253053,0.3880711711450108,0.5383734717061961
,33.0,67.0,0.0,1.0,0.0,,0.8503729688609928,0.7638266352823392,0.6576771356799456,0.7324243348015397,0.5968653452886371,0.1812872028219641,0.11136076253017003,0.1879035629121499
,33.0,67.0,0.0,1.0,1.0,,0.7618619640326227,0.7014580048452188,0.5419468865062033,0.5055011650161221,0.584957501657805,0.2553668060253053,0.3880711711450108,0.5383734717061961
10.0,,,0.0,0.0,0.0,,0.8506493722062582,0.7640513462383705,0.6581011288604683,0.7332766720822961,0.5969916641595431,0.17999357361234794,0.10958530052824048,0.18474895905512265
10.0,,,0.0,0.0,1.0,,0.8456742204496696,0.7541256193799929,0.6431099804625038,0.7258945553266523,0.5775024074591885,0.18355366086835126,0.13049659383355502,0.21120803920431316
10.0,,,0.0,1.0,0.0,,0.8506493722062582,0.7640513462383705,0.6581011288604683,0.7332766720822961,0.5969916641595431,0.17999357361234794,0.10958530052824048,0.18474895905512265
10.0,,,0.0,1.0,1.0,,0.8456742204496696,0.7541256193799929,0.6431099804625038,0.7258945553266523,0.5775024074591885,0.18355366086835126,0.13049659383355502,0.21120803920431316
20.0,,,0.0,0.0,0.0,,0.8503422657614275,0.7639278956972795,0.6577309141322651,0.731913022990853,0.5972315989264544,0.18155975462542528,0.11689530873519415,0.19281342828166614
20.0,,,0.0,0.0,1.0,,0.8246366697714003,0.7437418489885768,0.6173955427169675,0.6506711430353682,0.5876827804492206,0.21052579430734655,0.2008087019967289,0.3078733552781096
20.0,,,0.0,1.0,0.0,,0.8503422657614275,0.7639278956972795,0.6577309141322651,0.731913022990853,0.5972315989264544,0.18155975462542528,0.11689530873519415,0.19281342828166614
20.0,,,0.0,1.0,1.0,,0.8246366697714003,0.7437418489885768,0.6173955427169675,0.6506711430353682,0.5876827804492206,0.21052579430734655,0.2008087019967289,0.3078733552781096
30.0,,,0.0,0.0,0.0,,0.850772274200418,0.76452803480998,0.6587592551238648,0.7331805636726965,0.5981464073392857,0.1808819657234766,0.11278856491464075,0.1882579685238051
30.0,,,0.0,0.0,1.0,,0.8141024603599453,0.7326513329524906,0.5984701238232356,0.6249750863233032,0.5754877459462033,0.2274803663276901,0.2862110437628404,0.4046758414223636
30.0,,,0.0,1.0,0.0,,0.850772274200418,0.76452803480998,0.6587592551238648,0.7331805636726965,0.5981464073392857,0.1808819657234766,0.11278856491464075,0.1882579685238051
30.0,,,0.0,1.0,1.0,,0.8141024603599453,0.7326513329524906,0.5984701238232356,0.6249750863233032,0.5754877459462033,0.2274803663276901,0.2862110437628404,0.4046758414223636
40.0,,,0.0,0.0,0.0,,0.8500352159034794,0.7629487126356082,0.6564446902016113,0.7321702410474161,0.5949484710948083,0.17789890771567934,0.1019769011568196,0.17636627150124334
40.0,,,0.0,0.0,1.0,,0.8067625804901255,0.7264731412442387,0.5875494856641794,0.6047274727741351,0.5715962192453693,0.23248325099653994,0.3308706892059997,0.4508726742248143
40.0,,,0.0,1.0,0.0,,0.8500352159034794,0.7629487126356082,0.6564446902016113,0.7321702410474161,0.5949484710948083,0.17789890771567934,0.1019769011568196,0.17636627150124334
40.0,,,0.0,1.0,1.0,,0.8067625804901255,0.7264731412442387,0.5875494856641794,0.6047274727741351,0.5715962192453693,0.23248325099653994,0.3308706892059997,0.4508726742248143
50.0,,,0.0,0.0,0.0,,0.8511714380726356,0.7642651759680549,0.6587753570273149,0.7355008410810303,0.596609582321928,0.18003507062328922,0.11102465686621124,0.18588635442379484
50.0,,,0.0,0.0,1.0,,0.7956756822774788,0.7238270923924974,0.5797056534431857,0.5744233796422152,0.5852371472670713,0.24625189606786055,0.3342322323796955,0.471719244133689
