tau,accuracy,f1,precision,recall,auc,dpr,eor,eOdds,kf,k,u,f,lf,nc,m
0.0,0.6869999999999999,0.8028340318493653,0.7156404102261413,0.914973420344699,0.5342718522585287,0.061985282396360655,0.03408353063426377,0.14949128690889313,2,0.0,24.8,55.2,0.0,0.0,1.0
0.0,0.7390000000000001,0.8233322246480308,0.7807483547062708,0.8712328510196988,0.650694578657823,0.11306438876065487,0.06916795959847541,0.21850162099096035,2,0.0,24.8,55.2,0.0,1.0,0.0
0.0,0.6869999999999999,0.8028340318493653,0.7156404102261413,0.914973420344699,0.5342718522585287,0.061985282396360655,0.03408353063426377,0.14949128690889313,2,0.0,24.8,55.2,0.0,1.0,1.0
0.0,0.755,0.8333795454770234,0.7931718503119619,0.8782177931990651,0.6720883751697018,0.10444379452204222,0.04756321179453375,0.2135773595114679,2,0.0,28.0,62.0,0.0,0.0,0.0
0.0,0.645,0.7715333467866687,0.698186282274632,0.8680700099478335,0.49785097903274445,0.04719960470741029,0.05927535678035123,0.13326607682370284,2,0.0,28.0,62.0,0.0,0.0,1.0
0.0,0.755,0.8333795454770234,0.7931718503119619,0.8782177931990651,0.6720883751697018,0.10444379452204222,0.04756321179453375,0.2135773595114679,2,0.0,28.0,62.0,0.0,1.0,0.0
0.0,0.645,0.7715333467866687,0.698186282274632,0.8680700099478335,0.49785097903274445,0.04719960470741029,0.05927535678035123,0.13326607682370284,2,0.0,28.0,62.0,0.0,1.0,1.0
0.0,0.743,0.8255070336228503,0.7847805962707618,0.8712227193074394,0.6574126766435013,0.11131076347761784,0.05386303060933588,0.22602459509288178,2,0.0,31.2,68.8,0.0,0.0,0.0
0.0,0.6449999999999999,0.7721716434512482,0.6997243783196381,0.8630889770280433,0.4992828766963765,0.09118137981875296,0.08059134375110774,0.20621971648474363,2,0.0,31.2,68.8,0.0,0.0,1.0
0.0,0.743,0.8255070336228503,0.7847805962707618,0.8712227193074394,0.6574126766435013,0.11131076347761784,0.05386303060933588,0.22602459509288178,2,0.0,31.2,68.8,0.0,1.0,0.0
0.0,0.6449999999999999,0.7721716434512482,0.6997243783196381,0.8630889770280433,0.4992828766963765,0.09118137981875296,0.08059134375110774,0.20621971648474363,2,0.0,31.2,68.8,0.0,1.0,1.0
0.0,0.746,0.8252687375180365,0.7938759701935383,0.8597467623571033,0.6697275387420439,0.11297091955184764,0.062026903109676644,0.23901431732619302,2,10.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6990000000000001,0.8044610706826646,0.735622303676225,0.8896399472636103,0.5706435138659195,0.13562022263978438,0.10935885146715218,0.31849799503354037,2,10.0,0.0,0.0,0.0,0.0,1.0
0.0,0.746,0.8252687375180365,0.7938759701935383,0.8597467623571033,0.6697275387420439,0.11297091955184764,0.062026903109676644,0.23901431732619302,2,10.0,0.0,0.0,0.0,1.0,0.0
0.0,0.6990000000000001,0.8044610706826646,0.735622303676225,0.8896399472636103,0.5706435138659195,0.13562022263978438,0.10935885146715218,0.31849799503354037,2,10.0,0.0,0.0,0.0,1.0,1.0
0.0,0.742,0.8225687733095481,0.7914526157462941,0.8566680457563571,0.6647701013456256,0.12368187926574999,0.07253830384036589,0.26940480767281394,2,20.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6910000000000001,0.8038483531576862,0.7223662649848552,0.907037641793405,0.5462627668065982,0.10945986312716131,0.06666357946432715,0.2596628835007829,2,20.0,0.0,0.0,0.0,0.0,1.0
0.0,0.742,0.8225687733095481,0.7914526157462941,0.8566680457563571,0.6647701013456256,0.12368187926574999,0.07253830384036589,0.26940480767281394,2,20.0,0.0,0.0,0.0,1.0,0.0
0.0,0.6910000000000001,0.8038483531576862,0.7223662649848552,0.907037641793405,0.5462627668065982,0.10945986312716131,0.06666357946432715,0.2596628835007829,2,20.0,0.0,0.0,0.0,1.0,1.0
0.0,0.748,0.8280048661677789,0.7916062660869309,0.8683568422155903,0.6672755318560568,0.11087546363331433,0.06220301885936561,0.2382070724485585,2,30.0,0.0,0.0,0.0,0.0,0.0
0.0,0.697,0.8140948301835895,0.7120991854721775,0.9511117853327375,0.5258915794098471,0.05574033200948445,0.047458966720138517,0.13452943834169379,2,30.0,0.0,0.0,0.0,0.0,1.0
0.0,0.748,0.8280048661677789,0.7916062660869309,0.8683568422155903,0.6672755318560568,0.11087546363331433,0.06220301885936561,0.2382070724485585,2,30.0,0.0,0.0,0.0,1.0,0.0
0.0,0.697,0.8140948301835895,0.7120991854721775,0.9511117853327375,0.5258915794098471,0.05574033200948445,0.047458966720138517,0.13452943834169379,2,30.0,0.0,0.0,0.0,1.0,1.0
0.0,0.752,0.829675592094846,0.7962669286976384,0.8664538087699072,0.6748483809773383,0.10396461040464548,0.05489270088907918,0.2232585612208838,2,40.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6859999999999999,0.801215867042378,0.7174210348566452,0.9117787866585025,0.5366863331294797,0.13021551869324308,0.13350313859151994,0.2573975394054254,2,40.0,0.0,0.0,0.0,0.0,1.0
0.0,0.752,0.829675592094846,0.7962669286976384,0.8664538087699072,0.6748483809773383,0.10396461040464548,0.05489270088907918,0.2232585612208838,2,40.0,0.0,0.0,0.0,1.0,0.0
0.0,0.6859999999999999,0.801215867042378,0.7174210348566452,0.9117787866585025,0.5366863331294797,0.13021551869324308,0.13350313859151994,0.2573975394054254,2,40.0,0.0,0.0,0.0,1.0,1.0
0.0,0.743,0.8233806007535028,0.7906527057507617,0.8593835469083567,0.6644894338425293,0.12041713382978554,0.06515705553476452,0.2628636099441053,2,50.0,0.0,0.0,0.0,0.0,0.0
0.0,0.686,0.8026874961419661,0.7164900760798163,0.9143905434900532,0.5342382157307988,0.15711137146028342,0.1533140840376076,0.3066416398109838,2,50.0,0.0,0.0,0.0,0.0,1.0
0.0,0.743,0.8233806007535028,0.7906527057507617,0.8593835469083567,0.6644894338425293,0.12041713382978554,0.06515705553476452,0.2628636099441053,2,50.0,0.0,0.0,0.0,1.0,0.0
