tau,accuracy,f1,precision,recall,auc,dpr,eor,eOdds,kf,k,u,f,lf,nc,m
0.0,0.8507107972676835,0.6581028921249852,0.7336024682574107,0.5967294734172309,0.7640007728327991,0.18578859840515177,0.13203618984842674,0.21049374465767076,2,0.0,3.0,7.0,0.0,0.0,0.0
0.0,0.8376276081365901,0.633984188814266,0.6939571091267795,0.5838513919963431,0.7509863350493979,0.2729136884448905,0.4912624569365899,0.6216597391282497,2,0.0,3.0,7.0,0.0,0.0,1.0
0.0,0.8507107972676835,0.6581028921249852,0.7336024682574107,0.5967294734172309,0.7640007728327991,0.18578859840515177,0.13203618984842674,0.21049374465767076,2,0.0,3.0,7.0,0.0,1.0,0.0
0.0,0.8376276081365901,0.633984188814266,0.6939571091267795,0.5838513919963431,0.7509863350493979,0.2729136884448905,0.4912624569365899,0.6216597391282497,2,0.0,3.0,7.0,0.0,1.0,1.0
0.0,0.850587918851392,0.6550241071134641,0.7376381838491862,0.5890736940760887,0.7613057991124257,0.1739517159323535,0.09620223746842996,0.16755189555625524,2,0.0,7.0,13.0,0.0,0.0,0.0
0.0,0.8130583050493229,0.6083414887276997,0.61495165395555,0.6028495243449317,0.7412899915932375,0.3001675910648769,0.4743088371578111,0.6458263016227962,2,0.0,7.0,13.0,0.0,0.0,1.0
0.0,0.850587918851392,0.6550241071134641,0.7376381838491862,0.5890736940760887,0.7613057991124257,0.1739517159323535,0.09620223746842996,0.16755189555625524,2,0.0,7.0,13.0,0.0,1.0,0.0
0.0,0.8130583050493229,0.6083414887276997,0.61495165395555,0.6028495243449317,0.7412899915932375,0.3001675910648769,0.4743088371578111,0.6458263016227962,2,0.0,7.0,13.0,0.0,1.0,1.0
0.0,0.8504958472772846,0.6569790408495145,0.7341071857623119,0.5945709425724763,0.7631239892910975,0.1791471671112105,0.1085187635683685,0.18324129516503226,2,0.0,10.0,20.0,0.0,0.0,0.0
0.0,0.7990843393538004,0.5861259251288592,0.5834422533541062,0.5901043553573029,0.7277422947982002,0.28506966479698054,0.4314545429468598,0.5981648181440797,2,0.0,10.0,20.0,0.0,0.0,1.0
0.0,0.8504958472772846,0.6569790408495145,0.7341071857623119,0.5945709425724763,0.7631239892910975,0.1791471671112105,0.1085187635683685,0.18324129516503226,2,0.0,10.0,20.0,0.0,1.0,0.0
0.0,0.7990843393538004,0.5861259251288592,0.5834422533541062,0.5901043553573029,0.7277422947982002,0.28506966479698054,0.4314545429468598,0.5981648181440797,2,0.0,10.0,20.0,0.0,1.0,1.0
0.0,0.8511100413046521,0.6596370190750858,0.733751051792036,0.599156868094341,0.765093142967366,0.18084877129109123,0.11115025486272559,0.18660053258698275,2,0.0,13.0,27.0,0.0,0.0,0.0
0.0,0.7857864548732812,0.5739430598095023,0.5509970833725213,0.5991323563514105,0.7220576013782503,0.2875099716966457,0.42132386830156693,0.5954992075711644,2,0.0,13.0,27.0,0.0,0.0,1.0
0.0,0.8511100413046521,0.6596370190750858,0.733751051792036,0.599156868094341,0.765093142967366,0.18084877129109123,0.11115025486272559,0.18660053258698275,2,0.0,13.0,27.0,0.0,1.0,0.0
0.0,0.7857864548732812,0.5739430598095023,0.5509970833725213,0.5991323563514105,0.7220576013782503,0.2875099716966457,0.42132386830156693,0.5954992075711644,2,0.0,13.0,27.0,0.0,1.0,1.0
0.0,0.8504651064531303,0.6563018884716497,0.7349849049086989,0.5929111371707346,0.7625371938379858,0.17954526331873805,0.11481065729489173,0.18927578945112708,2,0.0,16.6,33.4,0.0,0.0,0.0
0.0,0.7770646148640161,0.5681937582818823,0.5324592507303086,0.6091071378223882,0.719723392429282,0.28852764758056787,0.4217002306471526,0.5982656097129369,2,0.0,16.6,33.4,0.0,0.0,1.0
0.0,0.8504651064531303,0.6563018884716497,0.7349849049086989,0.5929111371707346,0.7625371938379858,0.17954526331873805,0.11481065729489173,0.18927578945112708,2,0.0,16.6,33.4,0.0,1.0,0.0
0.0,0.7770646148640161,0.5681937582818823,0.5324592507303086,0.6091071378223882,0.719723392429282,0.28852764758056787,0.4217002306471526,0.5982656097129369,2,0.0,16.6,33.4,0.0,1.0,1.0
0.0,0.8508336190970922,0.6580125775781891,0.7345751220480288,0.5959735123209358,0.7638255400669121,0.1768995163104502,0.10037271376880211,0.17341204060553236,2,0.0,20.0,40.0,0.0,0.0,0.0
0.0,0.7661926902196363,0.5557236615150244,0.512791417603675,0.6070431310475841,0.7118508262053445,0.27587468495686773,0.43012157056657185,0.5934300323710019,2,0.0,20.0,40.0,0.0,0.0,1.0
0.0,0.8508336190970922,0.6580125775781891,0.7345751220480288,0.5959735123209358,0.7638255400669121,0.1768995163104502,0.10037271376880211,0.17341204060553236,2,0.0,20.0,40.0,0.0,1.0,0.0
0.0,0.7661926902196363,0.5557236615150244,0.512791417603675,0.6070431310475841,0.7118508262053445,0.27587468495686773,0.43012157056657185,0.5934300323710019,2,0.0,20.0,40.0,0.0,1.0,1.0
0.0,0.8492059257029319,0.6545918550612222,0.729939628021562,0.5934149359748405,0.7618786401830222,0.17789354492011342,0.10526920032539963,0.1796309278708485,2,0.0,23.0,47.0,0.0,0.0,0.0
0.0,0.7715972043816355,0.5602386767968464,0.523221505213748,0.6036009175038142,0.7142436017859263,0.2730748690755652,0.4053394003266832,0.5683538965247974,2,0.0,23.0,47.0,0.0,0.0,1.0
0.0,0.8492059257029319,0.6545918550612222,0.729939628021562,0.5934149359748405,0.7618786401830222,0.17789354492011342,0.10526920032539963,0.1796309278708485,2,0.0,23.0,47.0,0.0,1.0,0.0
0.0,0.7715972043816355,0.5602386767968464,0.523221505213748,0.6036009175038142,0.7142436017859263,0.2730748690755652,0.4053394003266832,0.5683538965247974,2,0.0,23.0,47.0,0.0,1.0,1.0
