accuracy,f1,precision,recall,auc,dpr,eor,eOdds,kf,t,k,u,f,lf,nc,m,e
0.5465447446270504,0.525963662460249,0.5715604363903506,0.6150797619437107,0.5417900380918392,0.04678048056974408,0.042313441784636543,0.076578864855721,2,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.01
0.4559126285929259,0.40188489155065305,0.4282083814783294,0.48298558733236163,0.4531515095130233,0.026137555399077646,0.016361170551849775,0.0371103305391901,2,0.0,0.0,7.0,3.0,0.0,0.0,1.0,0.01
0.5020922777701513,0.3704939068100656,0.5047595762866002,0.43109830492015444,0.5063350179505548,0.022670059900854918,0.020664816843600425,0.04260153415459352,2,0.0,0.0,7.0,3.0,0.0,1.0,0.0,0.01
0.4876176683562636,0.30977723090443665,0.4941450615309737,0.3713818011240094,0.5017064809035482,0.01711463049157064,0.017351158622876776,0.03415983315500734,2,0.0,0.0,7.0,3.0,0.0,1.0,1.0,0.01
0.5061562176782067,0.4720397520422905,0.49379017613197024,0.5914688740303377,0.498879411997427,0.011149500886104976,0.011457949549310478,0.03496504049665489,2,0.1,0.0,7.0,3.0,0.0,0.0,0.0,0.01
0.4382608294708736,0.14185292016286316,0.37402371780118143,0.11525561917472663,0.4606492983562422,0.02119561638650992,0.019675436980583872,0.04908357911454466,2,0.1,0.0,7.0,3.0,0.0,0.0,1.0,0.01
0.45185874872022724,0.1537075710698798,0.44394752375834595,0.09878672932317416,0.4805878025772762,0.023956778508170712,0.025719205711091327,0.04983431895376724,2,0.1,0.0,7.0,3.0,0.0,1.0,0.0,0.01
0.4904994493178562,0.3743729282072865,0.4862298200484737,0.42864993827285425,0.4924009223370375,0.045132518678196086,0.05098655179118283,0.08279406057422062,2,0.1,0.0,7.0,3.0,0.0,1.0,1.0,0.01
0.47980720361406765,0.30320046334318473,0.5114413426424138,0.3042372898935969,0.4954105917004011,0.050391105641260224,0.049683622092604705,0.10371113281302499,2,0.2,0.0,7.0,3.0,0.0,0.0,0.0,0.01
0.5272944478036113,0.6157668657927984,0.556351575653235,0.7332832299665822,0.5112483308222773,0.03211231834869462,0.0167449042205431,0.059271545753690494,2,0.2,0.0,7.0,3.0,0.0,0.0,1.0,0.01
