k,u,f,tau,neg_corr,micro_agg,epsilon,perf_name,perf_val,fair_name,fair_val
70.0,,,0.0,1.0,0.0,,accuracy,0.8502193920607095,dpr,0.1815843603328252
70.0,,,0.0,1.0,1.0,,accuracy,0.7760504175923337,dpr,0.20706472677840665
80.0,,,0.0,0.0,0.0,,accuracy,0.8497894213463077,dpr,0.17761941512830864
80.0,,,0.0,0.0,1.0,,accuracy,0.7776476389500341,dpr,0.21858107164543425
80.0,,,0.0,1.0,0.0,,accuracy,0.8497894213463077,dpr,0.17761941512830864
80.0,,,0.0,1.0,1.0,,accuracy,0.7776476389500341,dpr,0.21858107164543425
90.0,,,0.0,0.0,0.0,,accuracy,0.8507414815049547,dpr,0.18066711459684628
90.0,,,0.0,0.0,1.0,,accuracy,0.7735016264956385,dpr,0.2066313380527113
90.0,,,0.0,1.0,0.0,,accuracy,0.8507414815049547,dpr,0.18066711459684628
90.0,,,0.0,1.0,1.0,,accuracy,0.7735016264956385,dpr,0.2066313380527113
100.0,,,0.0,0.0,0.0,,accuracy,0.8504958142682693,dpr,0.17845328151199152
100.0,,,0.0,0.0,1.0,,accuracy,0.7564873230292392,dpr,0.19191650033710106
100.0,,,0.0,1.0,0.0,,accuracy,0.8504958142682693,dpr,0.17845328151199152
100.0,,,0.0,1.0,1.0,,accuracy,0.7564873230292392,dpr,0.19191650033710106
,3.0,7.0,0.1,0.0,0.0,,accuracy,0.8406067566247207,dpr,0.10456975562413012
,3.0,7.0,0.1,0.0,1.0,,accuracy,0.8409138583539782,dpr,0.22138313887001398
,3.0,7.0,0.1,1.0,0.0,,accuracy,0.8001904242922206,dpr,0.014262075905987931
,3.0,7.0,0.1,1.0,1.0,,accuracy,0.8089126321162251,dpr,0.058943051912624216
,7.0,13.0,0.1,0.0,0.0,,accuracy,0.8497587889803458,dpr,0.1509933335068637
,7.0,13.0,0.1,0.0,1.0,,accuracy,0.8155767042743092,dpr,0.2723921319470782
,7.0,13.0,0.1,1.0,0.0,,accuracy,0.8125670884652919,dpr,0.010778485969113013
,7.0,13.0,0.1,1.0,1.0,,accuracy,0.8082061778918067,dpr,0.13788887051971202
,10.0,20.0,0.1,0.0,0.0,,accuracy,0.8502194675098866,dpr,0.16023521811063862
,10.0,20.0,0.1,0.0,1.0,,accuracy,0.8003129160314788,dpr,0.2708632975814819
,10.0,20.0,0.1,1.0,0.0,,accuracy,0.8205214641591887,dpr,0.031333331603223366
,10.0,20.0,0.1,1.0,1.0,,accuracy,0.7949998557034486,dpr,0.1611837439543883
,13.0,27.0,0.1,0.0,0.0,,accuracy,0.8504036625294111,dpr,0.16630939073325135
,13.0,27.0,0.1,0.0,1.0,,accuracy,0.7920517969919167,dpr,0.2778458459165528
,13.0,27.0,0.1,1.0,0.0,,accuracy,0.8273701557384193,dpr,0.058153489322293736
,13.0,27.0,0.1,1.0,1.0,,accuracy,0.7821624894229684,dpr,0.17367947629179095
,16.6,33.4,0.1,0.0,0.0,,accuracy,0.8502808642778703,dpr,0.16714240521570733
,16.6,33.4,0.1,0.0,1.0,,accuracy,0.7788152008211888,dpr,0.2684476935178799
,16.6,33.4,0.1,1.0,0.0,,accuracy,0.8325296534128869,dpr,0.07140646662993534
,16.6,33.4,0.1,1.0,1.0,,accuracy,0.7715670058484431,dpr,0.17364757620388185
,20.0,40.0,0.1,0.0,0.0,,accuracy,0.8515400355969218,dpr,0.17287506643819622
,20.0,40.0,0.1,0.0,1.0,,accuracy,0.7653325554523158,dpr,0.25932170750761296
,20.0,40.0,0.1,1.0,0.0,,accuracy,0.8343723062285937,dpr,0.07972682946897157
