k,u,f,tau,neg_corr,micro_agg,epsilon,perf_name,perf_val,fair_name,fair_val
,12.6,27.4,0.2,1.0,0.0,,accuracy,0.746,dpr,0.11810948022883767
,12.6,27.4,0.2,1.0,1.0,,accuracy,0.6900000000000001,dpr,0.05092799627643803
,15.6,34.4,0.2,0.0,0.0,,accuracy,0.75,dpr,0.1218989772411074
,15.6,34.4,0.2,0.0,1.0,,accuracy,0.6729999999999999,dpr,0.04809280535001596
,15.6,34.4,0.2,1.0,0.0,,accuracy,0.75,dpr,0.1218989772411074
,15.6,34.4,0.2,1.0,1.0,,accuracy,0.6729999999999999,dpr,0.04809280535001596
,18.6,41.4,0.2,0.0,0.0,,accuracy,0.7440000000000001,dpr,0.1158113244825969
,18.6,41.4,0.2,0.0,1.0,,accuracy,0.6859999999999999,dpr,0.0717907136411969
,18.6,41.4,0.2,1.0,0.0,,accuracy,0.7440000000000001,dpr,0.1158113244825969
,18.6,41.4,0.2,1.0,1.0,,accuracy,0.6859999999999999,dpr,0.0717907136411969
,21.6,48.4,0.2,0.0,0.0,,accuracy,0.747,dpr,0.12536986915796522
,21.6,48.4,0.2,0.0,1.0,,accuracy,0.6729999999999999,dpr,0.039341586322627874
,21.6,48.4,0.2,1.0,0.0,,accuracy,0.747,dpr,0.12536986915796522
,21.6,48.4,0.2,1.0,1.0,,accuracy,0.6729999999999999,dpr,0.039341586322627874
,24.8,55.2,0.2,0.0,0.0,,accuracy,0.7390000000000001,dpr,0.11306438876065487
,24.8,55.2,0.2,0.0,1.0,,accuracy,0.6869999999999999,dpr,0.06198528239636065
,24.8,55.2,0.2,1.0,0.0,,accuracy,0.7390000000000001,dpr,0.11306438876065487
,24.8,55.2,0.2,1.0,1.0,,accuracy,0.6869999999999999,dpr,0.06198528239636065
,28.0,62.0,0.2,0.0,0.0,,accuracy,0.755,dpr,0.10444379452204222
,28.0,62.0,0.2,0.0,1.0,,accuracy,0.645,dpr,0.04719960470741029
,28.0,62.0,0.2,1.0,0.0,,accuracy,0.755,dpr,0.10444379452204222
,28.0,62.0,0.2,1.0,1.0,,accuracy,0.645,dpr,0.04719960470741029
,31.2,68.8,0.2,0.0,0.0,,accuracy,0.743,dpr,0.11131076347761784
,31.2,68.8,0.2,0.0,1.0,,accuracy,0.6449999999999999,dpr,0.09118137981875296
,31.2,68.8,0.2,1.0,0.0,,accuracy,0.743,dpr,0.11131076347761784
,31.2,68.8,0.2,1.0,1.0,,accuracy,0.6449999999999999,dpr,0.09118137981875296
10.0,,,0.2,0.0,0.0,,accuracy,0.7369999999999999,dpr,0.09915036935660708
10.0,,,0.2,0.0,1.0,,accuracy,0.7040000000000001,dpr,0.15864147057999226
10.0,,,0.2,1.0,0.0,,accuracy,0.741,dpr,0.07917621342826775
10.0,,,0.2,1.0,1.0,,accuracy,0.6489999999999999,dpr,0.06570060047363263
20.0,,,0.2,0.0,0.0,,accuracy,0.7470000000000001,dpr,0.116229389091994
20.0,,,0.2,0.0,1.0,,accuracy,0.6689999999999999,dpr,0.13169263557420602
20.0,,,0.2,1.0,0.0,,accuracy,0.738,dpr,0.10550803784851924
20.0,,,0.2,1.0,1.0,,accuracy,0.623,dpr,0.11213933074474676
30.0,,,0.2,0.0,0.0,,accuracy,0.7470000000000001,dpr,0.10490398413242304
30.0,,,0.2,0.0,1.0,,accuracy,0.6910000000000001,dpr,0.04655711326744216
30.0,,,0.2,1.0,0.0,,accuracy,0.7430000000000001,dpr,0.11638221178712133
30.0,,,0.2,1.0,1.0,,accuracy,0.6519999999999999,dpr,0.06078553190762555
40.0,,,0.2,0.0,0.0,,accuracy,0.7490000000000001,dpr,0.10535349929353437
40.0,,,0.2,0.0,1.0,,accuracy,0.682,dpr,0.1516440901218145
40.0,,,0.2,1.0,0.0,,accuracy,0.75,dpr,0.11725826119829633
40.0,,,0.2,1.0,1.0,,accuracy,0.6709999999999999,dpr,0.1252552012329256
50.0,,,0.2,0.0,0.0,,accuracy,0.743,dpr,0.12041713382978556
50.0,,,0.2,0.0,1.0,,accuracy,0.6859999999999999,dpr,0.15711137146028342
50.0,,,0.2,1.0,0.0,,accuracy,0.743,dpr,0.12041713382978556
50.0,,,0.2,1.0,1.0,,accuracy,0.6859999999999999,dpr,0.15711137146028342
60.0,,,0.2,0.0,0.0,,accuracy,0.75,dpr,0.13736714854284915
60.0,,,0.2,0.0,1.0,,accuracy,0.701,dpr,0.0835459942353862
60.0,,,0.2,1.0,0.0,,accuracy,0.75,dpr,0.13736714854284915
60.0,,,0.2,1.0,1.0,,accuracy,0.701,dpr,0.0835459942353862
70.0,,,0.2,0.0,0.0,,accuracy,0.74,dpr,0.11382890361322348
70.0,,,0.2,0.0,1.0,,accuracy,0.698,dpr,0.10456540771063713
70.0,,,0.2,1.0,0.0,,accuracy,0.74,dpr,0.11382890361322348
70.0,,,0.2,1.0,1.0,,accuracy,0.698,dpr,0.10456540771063713
80.0,,,0.2,0.0,0.0,,accuracy,0.746,dpr,0.12078761756226775
80.0,,,0.2,0.0,1.0,,accuracy,0.687,dpr,0.023475003372318427
80.0,,,0.2,1.0,0.0,,accuracy,0.746,dpr,0.12078761756226775
