tau,accuracy,f1,precision,recall,auc,dpr,eor,eOdds,kf,k,u,f,lf,nc,m
0.0,0.678297988726473,0.7187590885611252,0.6777589103723287,0.7656786734779037,0.6714334867732177,0.18239136734867925,0.1119624143940204,0.3170149472226811,2,10.0,0.0,0.0,0.0,1.0,0.0
0.0,0.6738094314927311,0.7187579466087647,0.6695800242407199,0.7764855604472424,0.6657536308201487,0.20518567210771366,0.1328439114574393,0.36580865605038687,2,10.0,0.0,0.0,0.0,1.0,1.0
0.0,0.6781533757182184,0.7186705692877251,0.6775874557144768,0.7656816514797763,0.6712731634764193,0.18095477149998912,0.11084866344079256,0.3139843134877284,2,20.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6701898098129357,0.7224294066746128,0.6594067046054445,0.7993175620853398,0.6599602811692145,0.20803872678978622,0.12833674098235157,0.37624496845590805,2,20.0,0.0,0.0,0.0,0.0,1.0
0.0,0.6781533757182184,0.7186705692877251,0.6775874557144768,0.7656816514797763,0.6712731634764193,0.18095477149998912,0.11084866344079256,0.3139843134877284,2,20.0,0.0,0.0,0.0,1.0,0.0
0.0,0.6701898098129357,0.7224294066746128,0.6594067046054445,0.7993175620853398,0.6599602811692145,0.20803872678978622,0.12833674098235157,0.37624496845590805,2,20.0,0.0,0.0,0.0,1.0,1.0
0.0,0.6781534805102534,0.7185411763312268,0.6777689504053479,0.7651468921214875,0.6713118144914971,0.18243331671111146,0.1128301741708702,0.3168626319195788,2,30.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6659935175647169,0.7165591593779043,0.6583157046633836,0.7864244956514129,0.6563558081017953,0.2136094165856366,0.14374148982769414,0.38489261713807044,2,30.0,0.0,0.0,0.0,0.0,1.0
0.0,0.6781534805102534,0.7185411763312268,0.6777689504053479,0.7651468921214875,0.6713118144914971,0.18243331671111146,0.1128301741708702,0.3168626319195788,2,30.0,0.0,0.0,0.0,1.0,0.0
0.0,0.6659935175647169,0.7165591593779043,0.6583157046633836,0.7864244956514129,0.6563558081017953,0.2136094165856366,0.14374148982769414,0.38489261713807044,2,30.0,0.0,0.0,0.0,1.0,1.0
0.0,0.6788772790957704,0.7192529774265503,0.6782390997062034,0.766202361644861,0.6719931010055088,0.17988484413209013,0.1111860171120322,0.31118689412699285,2,40.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6664260990850607,0.7252057445385267,0.6507374290118262,0.8196088720842589,0.6543589480775547,0.2138122907135127,0.13717931325894633,0.38925368986918835,2,40.0,0.0,0.0,0.0,0.0,1.0
0.0,0.6788772790957704,0.7192529774265503,0.6782390997062034,0.766202361644861,0.6719931010055088,0.17988484413209013,0.1111860171120322,0.31118689412699285,2,40.0,0.0,0.0,0.0,1.0,0.0
0.0,0.6664260990850607,0.7252057445385267,0.6507374290118262,0.8196088720842589,0.6543589480775547,0.2138122907135127,0.13717931325894633,0.38925368986918835,2,40.0,0.0,0.0,0.0,1.0,1.0
0.0,0.6787322469193762,0.7191090503736131,0.6781610781578213,0.7659499321920282,0.6718647163910154,0.18145109270587498,0.1116767469966417,0.31464810187797976,2,50.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6675841558634812,0.7252937198964794,0.6523276022094741,0.8171448125622405,0.6557555270096674,0.2137234955888573,0.13563197531488894,0.3893624006691555,2,50.0,0.0,0.0,0.0,0.0,1.0
0.0,0.6787322469193762,0.7191090503736131,0.6781610781578213,0.7659499321920282,0.6718647163910154,0.18145109270587498,0.1116767469966417,0.31464810187797976,2,50.0,0.0,0.0,0.0,1.0,0.0
0.0,0.6675841558634812,0.7252937198964794,0.6523276022094741,0.8171448125622405,0.6557555270096674,0.2137234955888573,0.13563197531488894,0.3893624006691555,2,50.0,0.0,0.0,0.0,1.0,1.0
0.0,0.6785877387031566,0.719009248992859,0.6780009506625794,0.7659515410249809,0.6717104820478017,0.18054929544564752,0.11047522417898163,0.31301011105839166,2,60.0,0.0,0.0,0.0,0.0,0.0
