,accuracy,f1,precision,recall,auc,dpr,eor,eOdds,e
487,0.6755973931933381,0.7102199223803364,0.6752767527675276,0.7489768076398363,0.6707847001162144,0.15159271515724548,0.04482607181257858,0.2243717086198924,
488,0.6755973931933381,0.7102199223803364,0.6752767527675276,0.7489768076398363,0.6707847001162144,0.15159271515724548,0.04482607181257858,0.2243717086198924,
489,0.6755973931933381,0.7102199223803364,0.6752767527675276,0.7489768076398363,0.6707847001162144,0.15159271515724548,0.04482607181257858,0.2243717086198924,
490,0.6755973931933381,0.7102199223803364,0.6752767527675276,0.7489768076398363,0.6707847001162144,0.15159271515724548,0.04482607181257858,0.2243717086198924,
491,0.6755973931933381,0.7102199223803364,0.6752767527675276,0.7489768076398363,0.6707847001162144,0.15159271515724548,0.04482607181257858,0.2243717086198924,
492,0.6755973931933381,0.7102199223803364,0.6752767527675276,0.7489768076398363,0.6707847001162144,0.15159271515724548,0.04482607181257858,0.2243717086198924,
493,0.6755973931933381,0.7102199223803364,0.6752767527675276,0.7489768076398363,0.6707847001162144,0.15159271515724548,0.04482607181257858,0.2243717086198924,
494,0.6755973931933381,0.7102199223803364,0.6752767527675276,0.7489768076398363,0.6707847001162144,0.15159271515724548,0.04482607181257858,0.2243717086198924,
495,0.6755973931933381,0.7102199223803364,0.6752767527675276,0.7489768076398363,0.6707847001162144,0.15159271515724548,0.04482607181257858,0.2243717086198924,
496,0.6755973931933381,0.7102199223803364,0.6752767527675276,0.7489768076398363,0.6707847001162144,0.15159271515724548,0.04482607181257858,0.2243717086198924,
497,0.6755973931933381,0.7102199223803364,0.6752767527675276,0.7489768076398363,0.6707847001162144,0.15159271515724548,0.04482607181257858,0.2243717086198924,
498,0.6755973931933381,0.7102199223803364,0.6752767527675276,0.7489768076398363,0.6707847001162144,0.15159271515724548,0.04482607181257858,0.2243717086198924,
499,0.6755973931933381,0.7102199223803364,0.6752767527675276,0.7489768076398363,0.6707847001162144,0.15159271515724548,0.04482607181257858,0.2243717086198924,
500,0.4276410998552822,0.2709677419354839,0.4224137931034483,0.1994572591587517,0.44391467609100377,0.007835542906295484,0.01667856293123959,0.07476238153823668,0.001
501,0.4746743849493488,0.16743119266055045,0.5407407407407407,0.09905020352781546,0.5014630862600319,0.025243421222711324,0.01318899198984852,0.05347052713588914,0.001
502,0.4529667149059334,0.03571428571428571,0.2978723404255319,0.01899592944369064,0.4839165693730081,0.008918981802456892,0.0050916012372115155,0.02634429507920336,0.001
503,0.5202604920405209,0.6673356748620171,0.5294585987261147,0.9023066485753052,0.4930137894039317,0.04478057424611692,0.021175350939804938,0.09394347419167348,0.001
504,0.5549927641099855,0.6992665036674818,0.5466360856269113,0.9701492537313432,0.5253847043850516,0.018810943437909008,0.0054960742326909395,0.046602956712401215,0.001
505,0.4529667149059334,0.0381679389312977,0.30612244897959184,0.0203527815468114,0.4838198016261189,0.007847293870462072,0.0029502736140851783,0.019021620305817947,0.001
506,0.5202604920405209,0.662251655629139,0.5301794453507341,0.8819538670284939,0.4944653056072702,0.031624194765180524,0.012435561900229986,0.06680531750571395,0.001
507,0.5419681620839363,0.6687598116169545,0.5442930153321976,0.8670284938941656,0.5187855647765401,0.06068667934204008,0.028654135934649824,0.12414223717725605,0.001
508,0.540520984081042,0.6980504041844984,0.5373352855051244,0.9959294436906376,0.5080422412251638,0.0011703960309943364,0.006423982869379064,0.014631603576426566,0.001
509,0.4652677279305354,0.013351134846461948,0.4166666666666667,0.0067842605156038,0.4979657736686546,0.003313771894983983,0.010706638115631693,0.017401122044284997,0.001
510,0.4826338639652678,0.18657565415244592,0.5774647887323944,0.1112618724559023,0.5091193083209744,0.0403622117194716,0.01729716868903164,0.08418469218850433,0.001
511,0.4254703328509407,0.2537593984962406,0.4128440366972477,0.18317503392130255,0.4427503076583257,0.011198668850779192,0.02020778808787374,0.0908093745888596,0.001
512,0.4587554269175109,0.031088082901554407,0.3428571428571429,0.016282225237449117,0.4903116552543834,0.012101142898774843,0.002315806170195892,0.02362581579924812,0.001
513,0.5354558610709117,0.6957345971563982,0.5345957756737072,0.9959294436906376,0.5026158846360166,0.0032973205451507503,0.006423982869379064,0.007937119647773326,0.001
514,0.5643994211287988,0.6329268292682927,0.5747508305647839,0.7042062415196744,0.554428702155186,0.04392745424762101,0.024173209612181838,0.11217586906470144,0.001
515,0.5426917510853835,0.6964457252641689,0.5390334572490706,0.9837177747625508,0.5112387323425157,0.007781488471129028,0.0035292251566341197,0.021870277015958228,0.001
516,0.5253256150506512,0.6799999999999999,0.5308453922315308,0.9457259158751696,0.4953435780926236,0.0061175519451370786,0.003822666349432957,0.02099447615272521,0.001
517,0.4645441389290883,0.02887139107611548,0.44,0.01492537313432836,0.4966099733888696,0.004467716576145071,0.011864541200729635,0.017859772527246208,0.001
518,0.4175108538350217,0.1588296760710554,0.34545454545454546,0.10312075983717776,0.4399324729418447,0.0315207862805143,0.010770084860020623,0.04839216748645925,0.001
519,0.5745296671490593,0.6852248394004283,0.5658709106984969,0.8683853459972863,0.5535725179598835,0.013285640086769137,0.014822745657863456,0.02162039800322546,0.001
520,0.5528219971056441,0.6637649619151251,0.5540417801998183,0.8276797829036635,0.5332197364130721,0.04268185204596031,0.026457292410183242,0.07880953231114153,0.001
521,0.5853835021707671,0.6310367031551835,0.6004901960784313,0.6648575305291723,0.5797155869700125,0.05723659626272337,0.0846855420731224,0.08873203663958573,0.001
522,0.5361794500723589,0.6963524396020844,0.5349344978165939,0.9972862957937584,0.5032943106875769,0.0022091812633225905,0.004282655246252709,0.005795792024646973,0.001
523,0.4602026049204052,0.02356020942408377,0.3333333333333333,0.012211668928086837,0.4921523460919504,0.01963586112240509,0.0017368546276469185,0.04155986347720444,0.001
524,0.5303907380607815,0.6910994764397906,0.532258064516129,0.9850746268656716,0.4979636700219831,0.003346674594650545,0.01186454120072966,0.01855902512938301,0.001
525,0.38205499276411,0.2700854700854701,0.3648960739030023,0.21438263229308005,0.3940130215728966,0.0067051001534675905,0.0006820525021809798,0.020742577973316773,0.001
526,0.5340086830680174,0.6944971537001897,0.5339168490153173,0.9932157394843962,0.5012590325328958,0.0022256326131558928,0.004861606788801653,0.006374743567195917,0.001
527,0.5376266280752533,0.6932309169467115,0.5364041604754829,0.9796472184531886,0.5061026789940362,0.0001974161979989564,0.002950273614085175,0.005048031420495369,0.001
